Theta,Power,Theta,Power,Theta,Power,Theta,Power,Theta,Power
theta,W,theta,W,theta,W,theta,W,theta,W
,1960mA,,1960mA,,1960mA,,1960mA,,1960mA
142.148,0.442,142.8845,0.457,142.602,0.444,142.04,0.437,142.655,0.444
144.988,0.475,144.7286,0.468,144.359,0.466,143.816,0.458,145.2854,0.477
146.8227,0.486,147.2983,0.489,147.0055,0.487,145.777,0.48,147.1644,0.498
148.578,0.506,148.9877,0.52,148.721,0.508,147.784,0.501,148.8377,0.518
150.4005,0.526,150.9834,0.529,151.2287,0.527,149.6123,0.521,150.675,0.537
152.1414,0.545,153.5385,0.548,152.7613,0.546,151.3986,0.54,152.5535,0.546
153.8865,0.563,155.308,0.565,154.5054,0.564,153.2,0.558,154.403,0.565
155.607,0.579,157.3205,0.59,156.2416,0.58,155.7556,0.575,157.0444,0.589
157.4653,0.595,159.1385,0.597,158.1206,0.595,157.634,0.59,158.872,0.597
160.2236,0.609,160.817,0.611,159.9095,0.61,159.4146,0.605,160.5487,0.611
162.04,0.622,163.33,0.624,161.785,0.622,162.031,0.618,163.259,0.629
164.549,0.634,165.0146,0.635,163.546,0.634,163.8623,0.63,165.1746,0.64
166.3977,0.644,166.699,0.645,166.249,0.644,165.7783,0.64,167.012,0.65
168.1637,0.653,168.532,0.653,168.322,0.652,167.5943,0.65,168.695,0.657
170.093,0.66,171.0345,0.659,170.1656,0.658,169.417,0.657,170.59,0.663
171.9154,0.665,171.9373,0.665,171.926,0.663,171.1475,0.663,173.3235,0.668
174.5425,0.669,174.639,0.668,173.671,0.667,173.7475,0.667,174.2247,0.67
176.3855,0.672,176.5736,0.67,176.308,0.669,175.4525,0.669,176.907,0.672
178.1306,0.672,178.3963,0.67,178.116,0.669,177.127,0.67,178.652,0.672
180.1326,0.671,180.189,0.668,179.9273,0.668,179.0105,0.67,180.484,0.671
181.816,0.668,182.0564,0.666,181.774,0.666,181.022,0.668,182.348,0.668
183.536,0.664,183.931,0.661,183.648,0.662,182.8357,0.665,184.0203,0.663
186.3926,0.658,186.545,0.655,185.4455,0.657,184.586,0.66,186.6593,0.657
188.2664,0.65,188.281,0.647,188.247,0.65,186.4447,0.654,188.4805,0.65
189.9604,0.641,190.175,0.637,189.828,0.642,188.983,0.646,190.217,0.641
192.605,0.631,191.941,0.627,191.86,0.632,190.8153,0.637,193.154,0.625
194.358,0.619,194.7915,0.615,193.755,0.621,192.5515,0.626,194.9666,0.612
196.355,0.606,196.5533,0.601,195.561,0.608,195.3406,0.614,196.907,0.605
198.173,0.591,198.5714,0.586,197.368,0.594,197.2045,0.601,198.7454,0.591
200.1264,0.575,200.285,0.57,199.083,0.578,198.8376,0.586,200.5655,0.575
201.8064,0.558,202.042,0.553,200.864,0.562,200.6343,0.569,202.277,0.557
203.6395,0.54,203.8787,0.535,203.4296,0.544,202.4523,0.552,204.1006,0.539
206.1317,0.521,206.5557,0.515,205.245,0.525,204.2365,0.534,206.8943,0.52
207.842,0.501,207.662,0.495,207.1246,0.516,207.002,0.514,208.722,0.5
209.664,0.481,209.7146,0.485,208.9577,0.486,208.8254,0.494,210.528,0.479
211.456,0.459,211.4707,0.463,210.6976,0.464,210.4575,0.473,212.377,0.458
214.0816,0.436,214.296,0.43,212.5615,0.442,213.095,0.452,214.236,0.435
215.7455,0.414,216.119,0.419,214.338,0.431,214.84,0.429,216.0106,0.413
217.472,0.391,217.9313,0.396,216.3695,0.408,216.6566,0.406,217.7776,0.389
219.303,0.367,219.784,0.372,218.955,0.385,218.459,0.383,220.403,0.366
221.908,0.343,221.561,0.349,220.9475,0.361,220.239,0.36,222.2467,0.342
223.896,0.32,223.399,0.325,222.7785,0.338,222.8254,0.336,224.012,0.318
225.7234,0.308,225.198,0.302,224.566,0.314,224.5763,0.312,226.393,0.295
227.5596,0.273,227.048,0.279,226.321,0.291,226.5777,0.289,228.251,0.271
229.296,0.261,229.778,0.255,228.9474,0.268,228.58,0.266,229.9616,0.249
231.8974,0.227,230.7436,0.233,230.7654,0.245,230.6404,0.243,231.762,0.226
233.6524,0.206,233.555,0.211,232.6856,0.223,232.3824,0.221,233.488,0.204
235.5356,0.184,235.2897,0.189,234.5333,0.201,234.251,0.199,236.134,0.183
237.3224,0.163,236.969,0.168,236.36,0.18,236.0737,0.178,237.8944,0.162
